Date,Open,High,Low,Close,Adj Close,Volume
2012-10-03,69.27999877929688,71.4000015258789,69.0,70.77999877929688,70.77999877929688,1317500
2012-10-04,71.25,74.25,71.25,74.25,74.25,1317500
2012-10-05,72.48999786376953,72.51000213623047,71.0999984741211,71.55000305175781,71.55000305175781,651000
2012-10-08,72.19999694824219,75.12000274658203,72.19999694824219,75.12000274658203,75.12000274658203,651000
2012-10-09,75.05999755859375,75.12000274658203,72.19999694824219,75.05999755859375,75.05999755859375,3169000
2012-10-10,77.02999877929688,78.36000061035156,76.61000061035156,77.6500015258789,77.6500015258789,1334000
2012-10-11,77.6500015258789,78.80000305175781,77.3499984741211,78.12000274658203,78.12000274658203,1732500
2012-10-12,78.12000274658203,78.48999786376953,75.80000305175781,75.98999786376953,75.98999786376953,698000
2012-10-15,75.98999786376953,76.3499984741211,75.16000366210938,75.55999755859375,75.55999755859375,270000
2012-10-16,75.55999755859375,77.0,75.4000015258789,75.73999786376953,75.73999786376953,219500
2012-10-17,75.73999786376953,76.01000213623047,75.5,75.58999633789062,75.58999633789062,257500
2012-10-18,75.5999984741211,76.5,75.5999984741211,76.5,76.5,455500
2012-10-19,75.95999908447266,76.4000015258789,75.51000213623047,75.88999938964844,75.88999938964844,227000
2012-10-22,75.88999938964844,76.98999786376953,75.5,76.1500015258789,76.1500015258789,176000
2012-10-23,76.1500015258789,77.0,75.26000213623047,75.43000030517578,75.43000030517578,345000
2012-10-24,75.43000030517578,76.0,75.0,75.0999984741211,75.0999984741211,206500
2012-10-25,75.0999984741211,75.0999984741211,73.81999969482422,74.26000213623047,74.26000213623047,263000
2012-10-26,74.26000213623047,74.26000213623047,74.26000213623047,74.26000213623047,74.26000213623047,0
2012-10-31,172.5,172.5,172.5,172.5,172.5,0
2012-11-01,75.26000213623047,76.25,75.0,75.83999633789062,75.83999633789062,1094500
2012-11-02,75.83999633789062,78.69999694824219,75.75,78.06999969482422,78.06999969482422,2483000
2012-11-05,78.06999969482422,78.9000015258789,77.25,78.19999694824219,78.19999694824219,676500
2012-11-06,173.1999969482422,173.1999969482422,173.1999969482422,173.1999969482422,173.1999969482422,0
2012-11-07,78.48999786376953,78.48999786376953,76.5,76.5,76.5,1031500
2012-11-08,76.5,76.5,76.5,76.5,76.5,0
2012-11-09,76.5,76.5,76.5,76.5,76.5,0
2012-11-12,77.5199966430664,77.88999938964844,77.19999694824219,77.41999816894531,77.41999816894531,147500
2012-11-13,77.41999816894531,77.69999694824219,76.5,77.0199966430664,77.0199966430664,1251500
2012-11-14,77.0199966430664,77.6500015258789,76.5,76.79000091552734,76.79000091552734,928000
2012-11-15,76.80000305175781,78.48999786376953,76.80000305175781,78.48999786376953,78.48999786376953,895000
2012-11-16,77.72000122070312,78.94999694824219,77.5,78.4800033569336,78.4800033569336,716500
2012-11-19,78.4800033569336,78.9000015258789,78.4000015258789,78.5,78.5,715500
2012-11-20,167.5,167.5,167.5,167.5,167.5,0
2012-11-21,77.05000305175781,77.79000091552734,76.6500015258789,76.93000030517578,76.93000030517578,571500
2012-11-23,77.02999877929688,77.5,76.6500015258789,77.16999816894531,77.16999816894531,386000
2012-11-26,77.5,78.44999694824219,77.5,78.44999694824219,78.44999694824219,526000
2012-11-27,77.87000274658203,78.1500015258789,77.55000305175781,77.98999786376953,77.98999786376953,403500
2012-11-28,78.0999984741211,79.5,78.0999984741211,79.5,79.5,469000
2012-11-29,78.80000305175781,81.4800033569336,78.80000305175781,81.4800033569336,81.4800033569336,1843000
2012-11-30,81.08000183105469,84.25,80.98999786376953,83.81999969482422,83.81999969482422,3136000
2012-12-03,83.81999969482422,85.0999984741211,82.80000305175781,83.0,83.0,2210500
2012-12-04,83.81999969482422,85.0999984741211,82.80000305175781,83.0,83.0,2210500
2012-12-05,82.77999877929688,84.0,82.52999877929688,83.44000244140625,83.44000244140625,974000
2012-12-06,83.48999786376953,84.8499984741211,83.48999786376953,84.8499984741211,84.8499984741211,761500
2012-12-07,83.81999969482422,85.58999633789062,83.70999908447266,84.02999877929688,84.02999877929688,2369500
2012-12-10,84.02999877929688,84.6500015258789,83.9000015258789,84.0,84.0,455500
2012-12-11,84.0,84.4800033569336,83.30999755859375,83.66999816894531,83.66999816894531,243500
2012-12-12,84.13999938964844,86.0,84.13999938964844,86.0,86.0,1420500
2012-12-13,85.23999786376953,86.0999984741211,84.20999908447266,84.44999694824219,84.44999694824219,482500
2012-12-14,84.44999694824219,85.30000305175781,84.25,84.97000122070312,84.97000122070312,178000
2012-12-17,84.97000122070312,85.4000015258789,84.0,84.69999694824219,84.69999694824219,897500
2012-12-18,84.69999694824219,85.80000305175781,84.61000061035156,84.9800033569336,84.9800033569336,556000
2012-12-19,85.19999694824219,86.25,85.19999694824219,86.25,86.25,427500
2012-12-20,85.31999969482422,86.30000305175781,85.0,85.97000122070312,85.97000122070312,407000
2012-12-21,85.97000122070312,86.0,84.80999755859375,85.0199966430664,85.0199966430664,402000
2012-12-24,85.0199966430664,85.5,84.5,84.73999786376953,84.73999786376953,79000
2012-12-26,83.81999969482422,84.55999755859375,83.81999969482422,84.55999755859375,84.55999755859375,359500
2012-12-27,84.19999694824219,84.5,83.80000305175781,84.04000091552734,84.04000091552734,359500
2012-12-28,84.04000091552734,84.75,83.9000015258789,84.16999816894531,84.16999816894531,403500
2012-12-31,84.16999816894531,84.19999694824219,83.5999984741211,83.66999816894531,83.66999816894531,375000
2013-01-02,83.23999786376953,83.69999694824219,80.0,81.23999786376953,81.23999786376953,1253000
2013-01-03,81.23999786376953,82.0,81.0,81.80999755859375,81.80999755859375,310500
2013-01-04,81.80999755859375,82.9000015258789,81.5,82.5199966430664,82.5199966430664,3315500
2013-01-07,82.5199966430664,83.5,81.5199966430664,82.69000244140625,82.69000244140625,334500
2013-01-08,183.39999389648438,183.39999389648438,183.39999389648438,183.39999389648438,183.39999389648438,0
2013-01-09,84.02999877929688,86.0,84.0,85.81999969482422,85.81999969482422,1725500
2013-01-10,85.81999969482422,86.0,84.5,84.55000305175781,84.55000305175781,270000
2013-01-11,84.55000305175781,86.0,84.27999877929688,85.83000183105469,85.83000183105469,336000
2013-01-14,176.0,176.0,176.0,176.0,176.0,0
2013-01-15,178.35000610351562,178.35000610351562,178.25,178.25,178.25,39
2013-01-16,82.73999786376953,83.75,82.5999984741211,83.5,83.5,443500
2013-01-17,83.55000305175781,84.80000305175781,83.55000305175781,84.80000305175781,84.80000305175781,779500
2013-01-18,84.6500015258789,85.44999694824219,84.6500015258789,85.44999694824219,85.44999694824219,919000
2013-01-22,85.52999877929688,87.25,85.0199966430664,87.01000213623047,87.01000213623047,1854000
2013-01-23,87.01000213623047,89.19999694824219,86.68000030517578,88.41000366210938,88.41000366210938,1172500
2013-01-24,88.41000366210938,88.98999786376953,87.61000061035156,87.88999938964844,87.88999938964844,185000
2013-01-25,175.5,175.5,175.5,175.5,175.5,30
2013-01-28,87.88999938964844,89.9000015258789,87.5999984741211,89.44999694824219,89.44999694824219,809000
2013-01-29,89.48999786376953,90.3499984741211,89.48999786376953,90.3499984741211,90.3499984741211,1147500
2013-01-30,89.69999694824219,89.98999786376953,89.0,89.45999908447266,89.45999908447266,315500
2013-01-31,89.45999908447266,91.0,88.75,90.54000091552734,90.54000091552734,1810500
2013-02-01,90.54000091552734,92.3499984741211,89.5,91.87999725341797,91.87999725341797,1343500
2013-02-04,91.87999725341797,93.0,91.55000305175781,92.7300033569336,92.7300033569336,723000
2013-02-05,170.10000610351562,170.10000610351562,170.10000610351562,170.10000610351562,170.10000610351562,0
2013-02-06,92.7300033569336,93.0,91.0999984741211,92.18000030517578,92.18000030517578,758500
2013-02-07,92.18000030517578,93.3499984741211,91.4800033569336,91.5999984741211,91.5999984741211,748500
2013-02-08,91.5999984741211,92.0,91.01000213623047,91.72000122070312,91.72000122070312,773500
2013-02-11,91.72000122070312,92.9800033569336,91.4000015258789,92.06999969482422,92.06999969482422,716500
2013-02-12,92.06999969482422,93.6500015258789,91.9000015258789,93.02999877929688,93.02999877929688,1778500
2013-02-13,93.05000305175781,95.0,93.05000305175781,95.0,95.0,708000
2013-02-14,93.95999908447266,94.48999786376953,92.25,93.05999755859375,93.05999755859375,620500
2013-02-15,93.05999755859375,93.6500015258789,92.5999984741211,93.2699966430664,93.2699966430664,210000
2013-02-19,93.73999786376953,93.80999755859375,92.05000305175781,92.33999633789062,92.33999633789062,380500
2013-02-20,175.6999969482422,175.6999969482422,175.6999969482422,175.6999969482422,175.6999969482422,0
2013-02-21,94.19999694824219,94.8499984741211,93.0999984741211,93.41999816894531,93.41999816894531,90000
2013-02-22,93.41999816894531,95.0,93.0,94.55999755859375,94.55999755859375,1131500
2013-02-25,94.55999755859375,94.98999786376953,91.0,91.08999633789062,91.08999633789062,1160000
2013-02-26,91.08999633789062,91.55000305175781,89.75,90.04000091552734,90.04000091552734,695000
2013-02-27,90.04000091552734,93.0,90.01000213623047,92.91999816894531,92.91999816894531,838500
2013-02-28,92.91999816894531,93.9000015258789,92.5,93.30999755859375,93.30999755859375,1102000
2013-03-01,93.30999755859375,93.75,92.05000305175781,93.12000274658203,93.12000274658203,590500
2013-03-04,93.12000274658203,93.30000305175781,92.01000213623047,92.91000366210938,92.91000366210938,891000
2013-03-05,92.91000366210938,93.05000305175781,92.05999755859375,92.26000213623047,92.26000213623047,167000
2013-03-06,92.26000213623047,93.02999877929688,92.0999984741211,92.5999984741211,92.5999984741211,325500
2013-03-07,92.5999984741211,92.8499984741211,91.20999908447266,91.41999816894531,91.41999816894531,263500
2013-03-08,91.41999816894531,92.4800033569336,86.8499984741211,87.0999984741211,87.0999984741211,836000
2013-03-11,87.0999984741211,88.25,85.30000305175781,86.01000213623047,86.01000213623047,1038000
2013-03-12,86.01000213623047,88.5,86.0,88.45999908447266,88.45999908447266,523500
2013-03-13,88.45999908447266,88.80000305175781,87.30999755859375,88.36000061035156,88.36000061035156,83000
2013-03-14,88.36000061035156,89.80000305175781,88.0,88.97000122070312,88.97000122070312,165000
2013-03-15,88.97000122070312,90.0,87.5,89.45999908447266,89.45999908447266,178500
2013-03-18,182.3000030517578,182.3000030517578,182.3000030517578,182.3000030517578,182.3000030517578,0
2013-03-19,82.5,85.5999984741211,82.5,85.5999984741211,85.5999984741211,962000
2013-03-20,85.37000274658203,86.0,83.5,84.73999786376953,84.73999786376953,732000
2013-03-21,84.73999786376953,85.12999725341797,84.06999969482422,84.5,84.5,56000
2013-03-22,84.5,86.5,83.01000213623047,84.87000274658203,84.87000274658203,110000
2013-03-25,84.87000274658203,86.0,84.01000213623047,84.45999908447266,84.45999908447266,29000
2013-03-26,84.45999908447266,84.75,84.0,84.01000213623047,84.01000213623047,55000
2013-03-27,84.01000213623047,84.94999694824219,83.5,83.55999755859375,83.55999755859375,56000
2013-03-28,83.55999755859375,83.75,83.01000213623047,83.51000213623047,83.51000213623047,71000
2013-04-01,185.4499969482422,185.4499969482422,185.4499969482422,185.4499969482422,185.4499969482422,0
2013-04-02,83.2300033569336,84.0,82.5199966430664,83.75,83.75,103000
2013-04-03,83.75,84.98999786376953,83.0999984741211,84.19000244140625,84.19000244140625,189500
2013-04-04,84.19000244140625,85.5,83.98999786376953,85.41999816894531,85.41999816894531,242000
2013-04-05,85.41999816894531,87.5,85.0,87.12999725341797,87.12999725341797,161000
2013-04-08,86.0,87.0,86.0,87.0,87.0,47000
2013-04-09,86.26000213623047,86.5,85.75,86.44999694824219,86.44999694824219,118500
2013-04-10,85.56999969482422,86.4000015258789,85.56999969482422,86.4000015258789,86.4000015258789,9000
2013-04-11,85.91000366210938,87.5,85.80000305175781,86.93000030517578,86.93000030517578,243500
2013-04-12,86.93000030517578,87.19000244140625,86.19999694824219,87.0,87.0,109500
2013-04-15,85.75,86.5,85.75,86.5,86.5,203000
2013-04-16,86.0,87.5,82.91000366210938,87.41999816894531,87.41999816894531,1330000
2013-04-17,87.41999816894531,90.0,86.75,87.55999755859375,87.55999755859375,569000
2013-04-18,87.55999755859375,90.0,87.0,89.47000122070312,89.47000122070312,173000
2013-04-19,89.47000122070312,90.0,88.75,89.11000061035156,89.11000061035156,108500
2013-04-22,89.11000061035156,89.8499984741211,87.51000213623047,89.37000274658203,89.37000274658203,69000
2013-04-23,89.37000274658203,89.8499984741211,87.5,87.69000244140625,87.69000244140625,246500
2013-04-24,87.69000244140625,88.4000015258789,87.5,87.75,87.75,159500
2013-04-25,87.75,89.0,87.5199966430664,87.69000244140625,87.69000244140625,28500
2013-04-26,87.75,89.5,87.75,89.5,89.5,586500
